universe,trade_year,period,cost_bps_side,portfolio_return_pct,closed_mdd_pct,accepted,opportunities,trades,wins,losses,win_rate_pct,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,payoff,pf,best_trade_pct,worst_trade_pct
KOSPI40_ROLLING,2019,Y2019,5.0,-3.297929181817627,4.823797982517986,14,17,14,4,10,28.571428571428573,-0.7301281136308042,-2.901444220506977,6.0959226403653535,-3.4605484152292676,1.7615481446635064,0.7046192578654026,14.54293401244582,-5.195034541017285
KOSDAQ40_ROLLING,2019,Y2019,5.0,-1.9185999866206949,2.3519349718335025,9,9,9,3,6,33.333333333333336,-3.5155825412227313,-3.7050800335824308,6.91726237927645,-8.732005001472324,0.7921734330328618,0.3960867165164309,8.41526349425077,-16.386021968843945
KR80_ROLLING,2019,Y2019,5.0,-5.149568645126723,6.716850464996993,23,26,23,7,16,30.434782608695652,-1.82008854181895,-3.2428729455496907,6.447925385612967,-5.4373446350704135,1.1858592416644684,0.5188134182282049,14.54293401244582,-16.386021968843945
KOSPI40_ROLLING,2020,Y2020,5.0,21.882544571701224,1.6407596180195938,21,29,21,13,8,61.904761904761905,11.451990762245543,6.996774836625419,20.990674685931985,-4.048370613744923,5.184968642610188,8.425574044241555,52.72677797227041,-8.312337067678444
KOSDAQ40_ROLLING,2020,Y2020,5.0,7.367447911146452,4.16762216771901,28,33,28,13,15,46.42857142857143,4.989702333039252,-1.105050715274597,18.593516326387075,-6.800269794528864,2.7342321537516687,2.3696678665847797,66.51529355246015,-11.75495195941828
KR80_ROLLING,2020,Y2020,5.0,24.501569578810887,4.747629617969762,41,62,41,21,20,51.21951219512195,7.412535083939836,0.16156843044445868,20.124492311727778,-5.935020005237503,3.3908044613107338,3.5603446843762705,66.51529355246015,-11.75495195941828
KOSPI40_ROLLING,2021,Y2021,5.0,1.801374666737754,3.2464761594570235,33,45,33,14,19,42.42424242424242,1.3447539860607425,-1.9777705132396073,8.725191435367416,-4.093463081849437,2.1314938625085516,1.5705744250063012,24.601815025551055,-8.370257668131021
KOSDAQ40_ROLLING,2021,Y2021,5.0,8.195439517704205,2.587982391155963,25,27,25,12,13,48.0,1.6924468070961038,-0.6875973777816902,8.116826160522495,-4.237749519143641,1.915362416739235,1.768026846220832,38.53962152140635,-9.914691776918549
KR80_ROLLING,2021,Y2021,5.0,-1.2545465334103834,7.02270732632927,52,72,52,21,31,40.38461538461539,0.6139382517842834,-1.9032611959678036,7.594028151476978,-4.114509744781734,1.8456702310908795,1.2502927371905956,24.601815025551055,-9.914691776918549
KOSPI40_ROLLING,2022,Y2022,5.0,-2.5100764333991,4.584261247706555,11,13,11,2,9,18.181818181818183,-2.3340220764183814,-3.6537067434661896,5.08355431146118,-3.9823723848360615,1.276514052482425,0.2836697894405389,8.141525669718108,-6.739366020235627
