ticker,error
000030.KS,RuntimeError('rows=0; rows=0; rows=0')
003670.KQ,RuntimeError('rows=21; rows=21; rows=21')
022100.KQ,RuntimeError('rows=0; rows=0; rows=0')
028150.KQ,RuntimeError('rows=0; rows=0; rows=0')
030190.KQ,RuntimeError('rows=0; rows=0; rows=0')
034230.KQ,RuntimeError('rows=0; rows=0; rows=0')
036490.KQ,RuntimeError('rows=0; rows=0; rows=0')
048260.KQ,RuntimeError('rows=0; rows=0; rows=0')
066970.KQ,RuntimeError('rows=0; rows=0; rows=0')
091990.KQ,RuntimeError('rows=0; rows=0; rows=0')
100090.KQ,RuntimeError('rows=0; rows=0; rows=0')
108320.KQ,RuntimeError('rows=21; rows=21; rows=21')
119860.KQ,RuntimeError('rows=0; rows=0; rows=0')
178920.KQ,RuntimeError('rows=21; rows=21; rows=21')
192080.KQ,RuntimeError('rows=21; rows=21; rows=21')
268600.KQ,RuntimeError('rows=0; rows=0; rows=0')
