strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,trade_year,market,symbol,name,ticker,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio
SOR_E1_BE,2019-10-22,2019-10-23,2019-11-21,683,704,51300.0,49650.0,pivot,2019-10-18,3.216374269005848,0.11019283746556474,0.8137535816618912,0.7004812601761417,1.1066770540183506,51600.0,0.4842607935798382,0.18181818181818182,False,trend_off_next_open,Y2019,2019,KOSPI,005930,삼성전자,005930.KS,5.0,1.1066770540183506,0.8137535816618912,0.7004812601761417
SOR_E1_BE,2019-12-23,2019-12-24,2019-12-30,727,730,641264.375,596383.5,pivot,2019-12-17,6.998809968197594,0.0,0.5147053093167004,0.704916300715063,3.623446319271368,658760.3125,2.62567313255917,0.38983057928349213,False,end_of_data,Y2019,2019,KOSPI,207940,삼성바이오로직스,207940.KS,5.0,3.623446319271368,0.5147053093167004,0.704916300715063
SOR_E1_BE,2019-02-18,2019-02-19,2019-03-06,516,526,390500.0,366000.0,pivot,2019-02-08,6.274007682458387,0.0,0.6779661016949152,0.962947544536911,1.9172641263064447,373500.0,-4.4489918932979045,-0.6938775510204082,False,trend_off_next_open,Y2019,2019,KOSPI,051910,LG화학,051910.KS,5.0,1.9172641263064447,0.6779661016949152,0.962947544536911
SOR_E1_BE,2019-09-18,2019-09-19,2019-10-07,661,672,157000.0,145000.0,pivot,2019-09-05,7.643312101910828,0.0,0.8323699421965318,0.9759636300403843,1.0049906041907388,150500.0,-4.235939355163188,-0.5416666666666666,False,trend_off_next_open,Y2019,2019,KOSPI,035420,NAVER,035420.KS,5.0,1.0049906041907388,0.8323699421965318,0.9759636300403843
SOR_E1_BE,2019-06-27,2019-06-28,2019-07-19,605,620,233500.0,222000.0,pivot,2019-06-21,4.925053533190578,0.0,0.8305084745762712,0.821108728077357,1.0277151630825858,233500.0,-0.09995002498750516,0.0,False,trend_off_next_open,Y2019,2019,KOSPI,012330,현대모비스,012330.KS,5.0,1.0277151630825858,0.8305084745762712,0.821108728077357
SOR_E1_BE,2019-04-03,2019-04-04,2019-05-13,547,572,36500.0,33750.0,pivot,2019-03-25,7.534246575342466,0.10101010101010101,0.8631578947368421,0.9642667114609001,1.6971578198862467,41850.0,14.54293401244582,1.9454545454545453,True,trend_off_next_open,Y2019,2019,KOSPI,000270,기아차,000270.KS,5.0,1.6971578198862467,0.8631578947368421,0.9642667114609001
SOR_E1_BE,2019-06-24,2019-06-25,2019-07-03,602,608,43150.0,41250.0,pivot,2019-06-14,4.40324449594438,0.0,0.5971370143149284,0.4901807078087834,1.0480958633614121,41250.0,-4.4987934769579185,-1.0,False,initial_stop,Y2019,2019,KOSPI,000270,기아차,000270.KS,5.0,1.0480958633614121,0.5971370143149284,0.4901807078087834
SOR_E1_BE,2019-11-22,2019-11-25,2019-11-29,706,710,44500.0,43100.0,pivot,2019-11-20,3.146067415730337,0.3519061583577713,0.8163265306122449,0.8080658881359243,1.1286249570037352,43100.0,-3.2428729455496907,-1.0,False,initial_stop,Y2019,2019,KOSPI,000270,기아차,000270.KS,5.0,1.1286249570037352,0.8163265306122449,0.8080658881359243
SOR_E1_BE,2019-11-25,2019-11-26,2019-11-29,707,710,44500.0,43100.0,pivot,2019-11-20,3.146067415730337,0.0,0.8211143695014663,0.9019060018436541,1.0028873481016876,43100.0,-3.2428729455496907,-1.0,False,initial_stop,Y2019,2019,KOSPI,000270,기아차,000270.KS,5.0,1.0028873481016876,0.8211143695014663,0.9019060018436541
SOR_E1_BE,2019-09-02,2019-09-03,2019-09-16,651,658,549000.0,521000.0,pivot,2019-08-26,5.100182149362477,0.0,0.8548387096774194,0.807118179999536,1.1685282105572021,521000.0,-5.195034541017285,-1.0,False,initial_stop,Y2019,2019,KOSPI,036570,엔씨소프트,036570.KS,5.0,1.1685282105572021,0.8548387096774194,0.807118179999536
