date,equity,state,strategy,cost_bps_side
2009-10-14,10000.0,OFF,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-15,9961.310037650735,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-16,9663.604439121817,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-19,9948.805037167986,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-20,9976.468818555191,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-21,9853.294002107737,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-22,10038.380280070398,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-23,9964.611924655404,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-26,9853.294002107737,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-27,9521.340723450816,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-28,8999.040269661793,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-29,9549.001048269578,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-10-30,8817.908305997318,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-02,8920.002375656251,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-03,8861.378110729833,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-04,9057.000873447256,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-05,9642.529741328068,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-06,9674.145244587127,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-09,10340.690027764684,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-10,10333.45110930404,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-11,10555.408602842539,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-12,10377.574205472181,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-13,10681.214732016822,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
2009-11-16,10994.72721803316,LEVER,TECL|SIG_BASE|BAND_0|OFF_BASE,10.0
