lever,off_mode,ending_equity,return_pct,cagr,max_dd,calmar,longest_dd_days,switches,fees
TQQQ,BASE,1268855.2233783402,125.88552233783402,0.36109697881916536,0.5472995931406525,0.659779366447228,788,47,20324.67026562949
TQQQ,TBILL,563396.252179902,55.3396252179902,0.2925431324829899,0.526527823512307,0.555608116835163,827,47,10748.614636070599
TQQQ,GLD_TREND,623812.6861506539,61.38126861506539,0.30095142547980025,0.5395447069359295,0.5577877451321898,875,81,19595.899421877508
TQQQ,BRK_TREND,439888.3939865851,42.988839398658506,0.2723427943506096,0.5392584157261838,0.5050320707259867,809,84,16057.862302419757
TECL,BASE,1473735.1267503172,146.37351267503172,0.3455693213136124,0.6286219171448688,0.5497252193864796,1337,91,21012.03589347924
TECL,TBILL,616070.9665691555,60.607096656915544,0.27758033157181883,0.6489143381520166,0.4277611315575401,1663,91,9834.490343366642
TECL,GLD_TREND,728050.6165330982,71.80506165330982,0.2903275174030462,0.6352074935442928,0.4570593394342596,1578,118,14468.560867597083
TECL,BRK_TREND,763090.6952972267,75.30906952972266,0.29393823246616857,0.6202302876326886,0.4739178952193383,1488,111,14464.777718854697
SOXL,BASE,2252825.5769361635,224.28255769361635,0.41414254111130777,0.6941516732921514,0.5966167871456032,1036,29,5995.760381376447
SOXL,TBILL,778181.2732967876,76.81812732967876,0.32118538264499663,0.7372791558096572,0.4356360546939385,1062,29,2811.1199892961913
SOXL,GLD_TREND,1072139.1710889968,106.21391710889968,0.348546267222545,0.730774630386733,0.47695452569021307,1042,70,8701.76308706177
SOXL,BRK_TREND,695702.5111554905,68.57025111554906,0.3117509336450264,0.7954873320799297,0.39189930634081044,1332,71,6435.323842667717
