lever,ma_days,ending_equity,return_pct,cagr,max_dd,calmar,longest_dd_days,switches,fees,bh_cagr,bh_max_dd,bh_calmar
TQQQ,150,877700.1282400655,86.77001282400656,0.32498045357667094,0.5472995931406527,0.5937889551713095,653,69,18643.062907111413,0.43088031466491006,0.816598480872513,0.5276526037674308
TQQQ,175,1244992.0598200453,123.49920598200453,0.3569244549254291,0.5472995931406527,0.6521555276100885,602,53,23973.129922481512,0.41516008795370873,0.8165984808725131,0.5084017392612848
TQQQ,200,1268855.2233783402,125.88552233783402,0.36109697881916536,0.5472995931406525,0.659779366447228,788,47,20324.67026562949,0.40888133835776874,0.8165984808725131,0.5007128324815033
TQQQ,225,1872198.0634419431,186.21980634419432,0.39823889996765716,0.5472995931406527,0.7276433327537888,598,29,12833.187586867301,0.4048860739855964,0.816598480872513,0.4958202635314565
TQQQ,250,1349613.3518097575,133.96133518097577,0.3721152926171425,0.5472995931406527,0.6799115096756725,751,31,9120.480908921852,0.3933948122324862,0.816598480872513,0.481748155852745
TECL,150,1443111.468856523,143.3111468856523,0.33936060214021313,0.6877346771631834,0.4934469838572511,780,127,42045.05375602348,0.41831504104007444,0.7795580019669495,0.5366054097124251
TECL,175,1966163.562345759,195.6163562345759,0.3663958332275823,0.6481472918447937,0.565297175252751,751,99,44504.146079031525,0.4145750645519961,0.7795580019669495,0.531807849455662
TECL,200,1473735.1267503172,146.37351267503172,0.3455693213136124,0.6286219171448688,0.5497252193864796,1337,91,21012.03589347924,0.40326717369327114,0.7795580019669495,0.5173023337272705
TECL,225,1217093.2519186179,120.7093251918618,0.33252856028767175,0.726027181054679,0.4580111722602685,715,93,17172.63076894521,0.3977606907511284,0.7795580019669495,0.5102387375250008
TECL,250,1195235.7719180088,118.52357719180088,0.33334414813647073,0.7857461817477095,0.4242389665769985,715,65,12923.72300429606,0.39084413696277154,0.7795580019669495,0.5013663331998508
SOXL,150,3966250.4951616595,395.625049516166,0.4593691850524997,0.6941516732921515,0.6617706226563577,874,35,40262.91607402668,0.421954166482986,0.9046051426914523,0.46645121342949125
SOXL,175,3043942.320614641,303.3942320614641,0.43833078498680766,0.6941516732921515,0.6314625489670539,976,33,19396.69962316368,0.4114741467516385,0.9046051426914523,0.45486602643821844
SOXL,200,2252825.5769361635,224.28255769361635,0.41414254111130777,0.6941516732921514,0.5966167871456032,1036,29,5995.760381376447,0.38890491186099063,0.9046051426914523,0.4299167598184222
SOXL,225,1788598.759138022,177.8598759138022,0.3964411650618096,0.73832489006833,0.5369467701747398,1047,27,7745.3660354211,0.37684128171941644,0.9046051426914523,0.41658096326780614
SOXL,250,1102604.0662925276,109.26040662925276,0.35638519620248976,0.767872359985571,0.46412036006763746,1023,31,7954.581731356732,0.376364476968825,0.9046051426914523,0.4160538772187784
