date,equity,held_asset,desired_asset
2010-12-22,10000.0,base,lever
2010-12-23,9896.864488729856,lever,lever
2010-12-27,9926.555075972745,lever,lever
2010-12-28,9799.886802035917,lever,lever
2010-12-29,9839.466991176227,lever,lever
2010-12-30,9926.555075972743,lever,lever
2010-12-31,9894.89248048554,lever,lever
2011-01-03,10116.574211997218,lever,lever
2011-01-04,10150.233708929454,lever,lever
2011-01-05,10249.196628380589,lever,lever
2011-01-06,10817.272693259427,lever,lever
2011-01-07,10888.529480312345,lever,lever
2011-01-10,11230.97279597818,lever,lever
2011-01-11,11355.671395408262,lever,lever
2011-01-12,11993.020570407869,lever,lever
2011-01-13,11989.068774794017,lever,lever
2011-01-14,12968.855042159277,lever,lever
2011-01-18,12816.449532418455,lever,lever
2011-01-19,11923.74357072449,lever,lever
2011-01-20,11490.265042123421,lever,lever
2011-01-21,11292.324422883228,lever,lever
2011-01-24,12107.833457503142,lever,lever
2011-01-25,11854.473572253813,lever,lever
2011-01-26,12183.042818082433,lever,lever
2011-01-27,12856.032055296335,lever,lever
2011-01-28,11814.878602775578,lever,lever
2011-01-31,11949.485474003617,lever,lever
2011-02-01,12814.465855486305,lever,lever
2011-02-02,13032.189568083952,lever,lever
2011-02-03,13046.055080883418,lever,lever
2011-02-04,13818.013460848631,lever,lever
2011-02-07,13675.49366344262,lever,lever
2011-02-08,13643.820177180101,lever,lever
2011-02-09,13384.529486859905,lever,lever
2011-02-10,13499.341596042656,lever,lever
2011-02-11,13808.113746088418,lever,lever
2011-02-14,14122.838482755675,lever,lever
2011-02-15,13719.042762272273,lever,lever
2011-02-16,14152.525180435952,lever,lever
2011-02-17,14776.029846274196,lever,lever
2011-02-18,14605.791469869608,lever,lever
2011-02-22,12865.925546756362,lever,lever
2011-02-23,12175.133781467068,lever,lever
2011-02-24,12776.853007115169,lever,lever
2011-02-25,13742.797099056635,lever,lever
2011-02-28,13327.12421018105,lever,lever
2011-03-01,12531.421606294263,lever,lever
2011-03-02,13065.852954578793,lever,lever
2011-03-03,13823.947377569586,lever,lever
2011-03-04,13388.484394123845,lever,lever
2011-03-07,12280.03372928925,lever,lever
2011-03-08,12345.35659962121,lever,lever
2011-03-09,11244.818083052063,lever,lever
2011-03-10,10393.695435243617,lever,lever
2011-03-11,10670.804989802176,lever,lever
2011-03-14,10627.255113059999,lever,lever
2011-03-15,10241.27514516487,lever,lever
2011-03-16,9580.172411293419,lever,lever
2011-03-17,9930.521651924524,lever,lever
2011-03-18,10029.486905113226,lever,lever
2011-03-21,10548.085399829111,lever,lever
2011-03-22,10300.657875475696,lever,lever
2011-03-23,10579.747995316315,lever,lever
2011-03-24,11359.62863640977,lever,lever
2011-03-25,11264.615178834922,lever,lever
2011-03-28,11318.060880774698,lever,lever
2011-03-29,11628.826042702878,lever,lever
2011-03-30,11666.425666561128,lever,lever
2011-03-31,11369.51823830719,lever,lever
2011-04-01,10971.664213669967,lever,lever
2011-04-04,10688.619186565405,lever,lever
2011-04-05,11385.361204738627,lever,lever
2011-04-06,11943.542222332388,lever,lever
2011-04-07,11769.356717789082,lever,lever
2011-04-08,11480.370772750863,lever,lever
2011-04-11,11171.590065667353,lever,lever
2011-04-12,10486.721326323703,lever,lever
2011-04-13,10575.79308805237,lever,lever
2011-04-14,10597.563747904587,lever,lever
2011-04-15,10807.382313449485,lever,lever
2011-04-18,10229.399532597732,lever,lever
2011-04-19,10352.131569171155,lever,lever
2011-04-20,11678.300501215741,lever,lever
2011-04-21,11646.63868364106,lever,lever
2011-04-25,11680.285733972936,lever,lever
2011-04-26,12242.425548393252,lever,lever
2011-04-27,12240.450428498849,lever,lever
2011-04-28,11996.987924272165,lever,lever
2011-04-29,12173.14777079735,lever,lever
2011-05-02,11793.107165010835,lever,lever
2011-05-03,11357.643403652572,lever,lever
2011-05-04,11377.44127734795,lever,lever
2011-05-05,11446.716721206285,lever,lever
2011-05-06,11698.099152823643,lever,lever
2011-05-09,11597.148666877747,lever,lever
2011-05-10,11747.584502111822,lever,lever
2011-05-11,11478.387873731235,lever,lever
2011-05-12,11949.485474003613,lever,lever
2011-05-13,11486.310134859477,lever,lever
2011-05-16,10999.384348493588,lever,lever
2011-05-17,10601.527990118799,lever,lever
2011-05-18,11199.29853180314,lever,lever
2011-05-19,10920.204522399908,lever,lever
2011-05-20,10819.257926016624,lever,lever
2011-05-23,10154.190172018441,lever,lever
2011-05-24,9924.582289815911,lever,lever
2011-05-25,10185.861324543393,lever,lever
2011-05-26,10472.862814736942,lever,lever
2011-05-27,10844.990494345486,lever,lever
2011-05-31,11331.920170273988,lever,lever
2011-06-01,10304.625229339998,lever,lever
2011-06-02,10308.577802866374,lever,lever
2011-06-03,9760.287942995075,lever,lever
2011-06-06,9522.764022964482,lever,lever
2011-06-07,9663.305588826,lever,lever
2011-06-08,9083.341464779665,lever,lever
2011-06-09,9113.0336078476,lever,lever
2011-06-10,8671.639041418468,lever,base
2011-06-13,8578.208817395443,base,base
2011-06-14,8728.789788900007,base,base
2011-06-15,8568.702093205593,base,base
2011-06-16,8470.428691329455,base,base
2011-06-17,8345.20825275004,base,base
2011-06-20,8356.305758449807,base,base
2011-06-21,8552.85149276914,base,base
2011-06-22,8519.56325340163,base,base
2011-06-23,8642.96832955208,base,base
2011-06-24,8444.442005413344,base,base
2011-06-27,8487.324127755955,base,base
2011-06-28,8601.673780420546,base,base
2011-06-29,8612.790535913375,base,base
2011-06-30,8814.49093704131,base,base
2011-07-01,9003.483266450026,base,base
2011-07-05,8932.020013859837,base,base
2011-07-06,8860.549275239015,base,base
2011-07-07,9028.901548754362,base,base
2011-07-08,8905.018970792698,base,base
2011-07-11,8750.963946357066,base,base
2011-07-12,8500.028991176334,base,base
2011-07-13,8473.027948109193,base,base
2011-07-14,8347.56367881767,base,base
2011-07-15,8380.913410579682,base,base
2011-07-18,8279.269690768415,base,base
2011-07-19,8538.145185586882,base,base
2011-07-20,8504.793314958975,base,base
2011-07-21,8568.32565280796,base,base
2011-07-22,8776.371534331922,base,base
2011-07-25,8673.143449608426,base,base
2011-07-26,8731.904512360608,base,base
2011-07-27,8420.614504618932,base,base
2011-07-28,8403.145852132391,base,base
2011-07-29,8333.266964454431,base,base
2011-08-01,8323.736712739728,base,base
2011-08-02,8082.333613423121,base,base
2011-08-03,8177.627040390096,base,base
2011-08-04,7705.930111219075,base,base
2011-08-05,7550.288048288844,base,base
2011-08-08,7146.88403773413,base,base
2011-08-09,7466.11191153117,base,base
2011-08-10,7323.174177304841,base,base
2011-08-11,7685.28256929507,base,base
2011-08-12,7653.520410744132,base,base
2011-08-15,7801.220864603682,base,base
2011-08-16,7661.460415665393,base,base
2011-08-17,7610.637218968574,base,base
2011-08-18,7170.708330229704,base,base
2011-08-19,7038.885747346781,base,base
2011-08-22,7081.766800256443,base,base
2011-08-23,7445.465973756589,base,base
2011-08-24,7451.818940183251,base,base
2011-08-25,7256.470970765503,base,base
2011-08-26,7458.172441326386,base,base
2011-08-29,7718.636044072401,base,base
2011-08-30,7717.046331995432,base,base
2011-08-31,7677.342029657338,base,base
2011-09-01,7551.875086783446,base,base
2011-09-02,7372.408196641168,base,base
2011-09-06,7323.174177304844,base,base
2011-09-07,7634.460976747677,base,base
2011-09-08,7601.108036686822,base,base
2011-09-09,7520.11185879956,base,base
2011-09-12,7737.692804486491,base,base
2011-09-13,7890.162394576946,base,base
2011-09-14,8093.450903632428,base,base
2011-09-15,8223.684309154856,base,base
2011-09-16,8234.799460498263,base,base
2011-09-19,8147.449246751393,base,base
2011-09-20,8042.62770693561,base,base
2011-09-21,7880.633212295191,base,base
2011-09-22,7615.40314690064,base,base
2011-09-23,7753.57655734433,base,base
2011-09-26,7748.162553045874,base,base
2011-09-27,7889.8763212633985,base,base
2011-09-28,7670.138329320668,base,base
2011-09-29,7571.415765606434,base,base
2011-09-30,7311.870271046144,base,base
2011-10-03,7041.178076870486,base,base
2011-10-04,7321.423515569226,base,base
2011-10-05,7553.901127503135,base,base
2011-10-06,7646.2557527294375,base,base
2011-10-07,7681.286098368983,base,base
2011-10-10,7897.838249560088,base,base
2011-10-11,7889.876321263397,base,base
2011-10-12,7948.792451793017,base,base
2011-10-13,8109.617521504971,base,base
2011-10-14,8201.966799566535,base,base
