date,equity,held_asset,desired_asset
2009-10-14,10000.0,base,lever
2009-10-15,9941.870834038724,lever,lever
2009-10-16,9644.747949917768,lever,lever
2009-10-19,9929.387650412315,lever,lever
2009-10-20,9956.994856981428,lever,lever
2009-10-21,9834.065597964813,lever,lever
2009-10-22,10018.788944562508,lever,lever
2009-10-23,9945.166277222123,lever,lever
2009-10-26,9834.065597964813,lever,lever
2009-10-27,9502.759282654642,lever,lever
2009-10-28,8981.479852974639,lever,lever
2009-10-29,9530.367351679444,lever,lever
2009-10-30,8800.700516237632,lever,lever
2009-11-02,8902.596205938173,lever,lever
2009-11-03,8844.088936983613,lever,lever
2009-11-04,9039.325618416593,lever,lever
2009-11-05,9623.712655690322,lever,lever
2009-11-06,9655.263009664432,lever,lever
2009-11-09,10320.509579955564,lever,lever
2009-11-10,10313.285651113862,lever,lever
2009-11-11,10534.808257002118,lever,lever
2009-11-12,10357.322638537133,lever,lever
2009-11-13,10660.36973077815,lever,lever
2009-11-16,10973.271241708911,lever,lever
2009-11-17,11185.590582951776,lever,lever
2009-11-18,11010.085162746167,lever,lever
2009-11-19,10444.755808807575,lever,lever
2009-11-20,10250.891294374016,lever,lever
2009-11-23,10692.137423585606,lever,lever
2009-11-24,10555.302791513262,lever,lever
2009-11-25,10606.039334720002,lever,lever
2009-11-27,10130.969418341045,lever,lever
2009-11-30,10137.882863135108,lever,lever
2009-12-01,10577.591233855204,lever,lever
2009-12-02,10587.5914075562,lever,lever
2009-12-03,10579.902615098728,lever,lever
2009-12-04,10833.583606221053,lever,lever
2009-12-07,10669.075358491631,lever,lever
2009-12-08,10468.43107989563,lever,lever
2009-12-09,10738.258966406487,lever,lever
2009-12-10,10876.629632058948,lever,lever
2009-12-11,10765.158096855848,lever,lever
2009-12-14,11049.587358162551,lever,lever
2009-12-15,10898.917211945201,lever,lever
2009-12-16,11058.048048460676,lever,lever
2009-12-17,10685.210179500535,lever,lever
2009-12-18,11192.567849466743,lever,lever
2009-12-21,11561.553128869115,lever,lever
2009-12-22,11780.645334628918,lever,lever
2009-12-23,11962.06202611927,lever,lever
2009-12-24,12357.949023338067,lever,lever
2009-12-28,12434.059012882304,lever,lever
2009-12-29,12341.037129754382,lever,lever
2009-12-30,12522.451233877673,lever,lever
2009-12-31,12142.705957313283,lever,lever
2010-01-04,12720.020857946374,lever,lever
2010-01-05,12702.332754243596,lever,lever
2010-01-06,12394.847465032735,lever,lever
2010-01-07,12251.101113077704,lever,lever
2010-01-08,12529.376753051367,lever,lever
2010-01-11,12347.185576353295,lever,lever
2010-01-12,11919.01427537,lever,lever
2010-01-13,12221.892326296194,lever,lever
2010-01-14,12508.615719732667,lever,lever
2010-01-15,12007.410808643812,lever,lever
2010-01-19,12469.417971174104,lever,lever
2010-01-20,12065.832694485269,lever,lever
2010-01-21,11650.726734717704,lever,lever
2010-01-22,10297.777835390047,lever,lever
2010-01-25,10513.019176503456,lever,lever
2010-01-26,10491.49400744529,lever,lever
2010-01-27,10656.77587792674,lever,lever
2010-01-28,9752.76017535677,lever,lever
2010-01-29,9093.958736421184,lever,lever
2010-02-01,9494.471083494094,lever,lever
2010-02-02,9755.833967428385,lever,lever
2010-02-03,9888.056186481932,lever,lever
2010-02-04,9046.300297564496,lever,lever
2010-02-05,9299.216290491668,lever,lever
2010-02-08,9178.521654162356,lever,lever
2010-02-09,9498.308148849483,lever,lever
2010-02-10,9399.914029241743,lever,lever
2010-02-11,9781.971549505348,lever,lever
2010-02-12,9848.844638632367,lever,lever
2010-02-16,10288.552146896776,lever,lever
2010-02-17,10407.709024734595,lever,lever
2010-02-18,10678.300184529226,lever,lever
2010-02-19,10626.790018570455,lever,lever
2010-02-22,10539.155896124734,lever,lever
2010-02-23,10095.612184960626,lever,lever
2010-02-24,10393.87178567821,lever,lever
2010-02-25,10326.225073799162,lever,lever
2010-02-26,10373.8869624786,lever,lever
2010-03-01,10785.919992630243,lever,lever
2010-03-02,10726.72189666969,lever,lever
2010-03-03,10755.172584901551,lever,lever
2010-03-04,10892.00462960683,lever,lever
2010-03-05,11319.411794850663,lever,lever
2010-03-08,11406.272294544353,lever,lever
2010-03-09,11530.804858684742,lever,lever
2010-03-10,11807.542740166911,lever,lever
2010-03-11,11914.403587262592,lever,lever
2010-03-12,11928.23823895191,lever,lever
2010-03-15,11766.032747909134,lever,lever
2010-03-16,12105.045967246222,lever,lever
2010-03-17,12241.876287040126,lever,lever
2010-03-18,12283.38714175359,lever,lever
2010-03-19,11975.124779967946,lever,lever
2010-03-22,12268.013006661398,lever,lever
2010-03-23,12643.63229521496,lever,lever
2010-03-24,12460.22678090835,lever,lever
2010-03-25,12514.213919602718,lever,lever
2010-03-26,12438.79648197585,lever,lever
2010-03-29,12451.497866891294,lever,lever
2010-03-30,12617.427441594346,lever,lever
2010-03-31,12403.86271433818,lever,lever
2010-04-01,12349.871263365372,lever,lever
2010-04-05,12833.378583738884,lever,lever
2010-04-06,12870.703078543367,lever,lever
2010-04-07,12792.095417327024,lever,lever
2010-04-08,12798.449128379654,lever,lever
2010-04-09,13140.643946749336,lever,lever
2010-04-12,13229.56744044844,lever,lever
2010-04-13,13399.472073416942,lever,lever
2010-04-14,14086.229151019546,lever,lever
2010-04-15,14341.09515625702,lever,lever
2010-04-16,13738.482705386965,lever,lever
2010-04-19,13742.45603874104,lever,lever
2010-04-20,13959.19977766274,lever,lever
2010-04-21,14092.58199961649,lever,lever
2010-04-22,14256.938455144844,lever,lever
2010-04-23,14404.610705391115,lever,lever
2010-04-26,14314.88857772503,lever,lever
2010-04-27,13482.832727929206,lever,lever
2010-04-28,13553.498897171532,lever,lever
2010-04-29,13958.416667898144,lever,lever
2010-04-30,13041.394271099218,lever,lever
2010-05-03,13575.729554982383,lever,lever
2010-05-04,12397.509003285553,lever,lever
2010-05-05,12226.804011438697,lever,lever
2010-05-06,10966.014539551077,lever,lever
2010-05-07,10165.716033094455,lever,lever
2010-05-10,11734.557427579872,lever,lever
2010-05-11,11620.22771422713,lever,lever
2010-05-12,12439.582179107512,lever,lever
2010-05-13,11915.576526998113,lever,lever
2010-05-14,11283.592285221537,lever,lever
2010-05-17,11337.58201128297,lever,lever
2010-05-18,10861.214099093748,lever,lever
2010-05-19,10626.204411158387,lever,lever
2010-05-20,9498.798886135894,lever,base
2010-05-21,9550.972701214932,base,base
2010-05-24,9506.491750013436,base,base
2010-05-25,9479.801288363622,base,base
2010-05-26,9386.382046299112,base,base
2010-05-27,9706.678091257525,base,lever
2010-05-28,9486.445813809649,lever,base
2010-06-01,9375.5948186181,base,base
2010-06-02,9585.597189503276,base,lever
2010-06-03,9909.65534553973,lever,lever
2010-06-04,8967.974860896245,lever,base
2010-06-07,8820.5077417649,base,base
2010-06-08,8837.220740793344,base,base
2010-06-09,8791.25851339082,base,base
2010-06-10,9004.355664658793,base,base
2010-06-11,9083.742903402004,base,base
2010-06-14,9067.028917657359,base,base
2010-06-15,9305.193594035596,base,lever
2010-06-16,9397.70092265083,lever,lever
2010-06-17,9506.037904263203,lever,lever
2010-06-18,9514.37180838888,lever,lever
2010-06-21,9256.026061322904,lever,lever
2010-06-22,9010.589680365245,lever,lever
2010-06-23,8900.567359582352,lever,lever
2010-06-24,8429.444147418646,lever,base
2010-06-25,8404.763441608055,base,base
2010-06-28,8420.409838905904,base,base
2010-06-29,8107.3833721161855,base,base
2010-06-30,7982.175363515547,base,base
2010-07-01,7950.872440609942,base,base
2010-07-02,7939.135570936802,base,base
2010-07-06,8017.392417823093,base,base
2010-07-07,8275.636697828248,base,base
2010-07-08,8326.503832455426,base,base
2010-07-09,8369.54178352328,base,base
2010-07-12,8408.674810743658,base,base
2010-07-13,8529.971450208695,base,base
2010-07-14,8580.833060303197,base,base
2010-07-15,8608.22737633954,base,lever
2010-07-16,7853.782880250106,lever,base
2010-07-19,7915.102157633555,base,base
2010-07-20,7966.4484955289745,base,base
2010-07-21,7871.085215804902,base,base
2010-07-22,8083.818951526052,base,lever
2010-07-23,8232.351610145837,lever,lever
2010-07-26,8394.476088200174,lever,lever
2010-07-27,8409.915859282008,lever,lever
2010-07-28,8152.5755599291515,lever,lever
2010-07-29,7931.260246151394,lever,base
2010-07-30,7883.033197238701,base,base
2010-08-02,8048.459232343846,base,lever
2010-08-03,7935.528162099177,lever,lever
2010-08-04,8131.6817420948855,lever,lever
2010-08-05,8017.465262820556,lever,lever
2010-08-06,7928.078308610252,lever,lever
2010-08-09,8010.016073311442,lever,lever
2010-08-10,7679.783721949808,lever,lever
2010-08-11,7078.90921540039,lever,base
2010-08-12,6966.946509597939,base,base
2010-08-13,6934.344113304695,base,base
2010-08-16,6947.386759594586,base,base
2010-08-17,7022.369892844029,base,base
2010-08-18,7061.489392850737,base,base
2010-08-19,6976.727918938336,base,base
2010-08-20,6960.427104376395,base,base
2010-08-23,6898.4804800619595,base,base
2010-08-24,6803.937596809162,base,base
2010-08-25,6846.319868104082,base,base
2010-08-26,6777.859208753623,base,base
2010-08-27,6859.3617472246115,base,base
2010-08-30,6768.076265074506,base,base
2010-08-31,6745.257579629741,base,base
2010-09-01,6918.042531573395,base,base
2010-09-02,6979.9876215491095,base,base
2010-09-03,7084.314215650385,base,base
2010-09-07,7025.629595454803,base,base
2010-09-08,7064.751396969592,base,base
2010-09-09,7084.314215650386,base,base
2010-09-10,7087.571616753079,base,base
2010-09-13,7214.71996497656,base,lever
2010-09-14,7316.542564832068,lever,lever
2010-09-15,7418.261318604394,lever,lever
2010-09-16,7551.465620484054,lever,lever
2010-09-17,7631.388331142029,lever,lever
2010-09-20,7955.922307143187,lever,lever
2010-09-21,7951.0791737739255,lever,lever
2010-09-22,7791.232457156193,lever,lever
2010-09-23,7798.49910016276,lever,lever
2010-09-24,8299.830111923175,lever,lever
2010-09-27,8265.925587734779,lever,lever
2010-09-28,8292.566707171069,lever,lever
2010-09-29,8311.940535949898,lever,lever
2010-09-30,8154.519271922148,lever,lever
2010-10-01,8132.720638204229,lever,lever
2010-10-04,7859.046686740126,lever,lever
2010-10-05,8374.909041560999,lever,lever
2010-10-06,8190.84665809696,lever,lever
2010-10-07,8258.659592379105,lever,lever
2010-10-08,8420.925285077901,lever,lever
2010-10-11,8440.299761507622,lever,lever
2010-10-12,8665.537198071977,lever,lever
2010-10-13,8883.507991629765,lever,lever
2010-10-14,8873.82107724035,lever,lever
2010-10-15,9409.05920379273,lever,lever
2010-10-18,9525.309948276408,lever,lever
2010-10-19,9021.554779227796,lever,lever
2010-10-20,9195.932191255097,lever,lever
2010-10-21,9198.35505324151,lever,lever
2010-10-22,9377.574303336289,lever,lever
2010-10-25,9472.029004705615,lever,lever
2010-10-26,9525.309948276408,lever,lever
2010-10-27,9680.308997968636,lever,lever
2010-10-28,9726.32588913643,lever,lever
2010-10-29,9745.701013217042,lever,lever
2010-11-01,9847.421709942044,lever,lever
2010-11-02,10082.347356197597,lever,lever
2010-11-03,10261.565958641482,lever,lever
2010-11-04,10714.460455502147,lever,lever
2010-11-05,10724.148665193346,lever,lever
2010-11-08,10801.648513864906,lever,lever
2010-11-09,10670.867721622553,lever,lever
