date,equity,held_asset,desired_asset
2010-11-24,10000.0,base,lever
2010-11-26,9917.203553387335,lever,lever
2010-11-29,9779.155660794637,lever,lever
2010-11-30,9407.394506280334,lever,lever
2010-12-01,10005.57741927412,lever,lever
2010-12-02,10309.409408218728,lever,lever
2010-12-03,10395.599868045842,lever,lever
2010-12-06,10377.33857378842,lever,lever
2010-12-07,10386.84601894233,lever,lever
2010-12-08,10530.727466025506,lever,lever
2010-12-09,10541.666479872585,lever,lever
2010-12-10,10762.983658337413,lever,lever
2010-12-13,10636.633651693888,lever,lever
2010-12-14,10681.17144207498,lever,lever
2010-12-15,10572.349358503308,lever,lever
2010-12-16,10792.93932117621,lever,lever
2010-12-17,10825.810002576349,lever,lever
2010-12-20,10855.005913971107,lever,lever
2010-12-21,11033.944965881887,lever,lever
2010-12-22,11045.638455121314,lever,lever
2010-12-23,10961.638436089464,lever,lever
2010-12-27,10966.043059912618,lever,lever
2010-12-28,10918.560353343915,lever,lever
2010-12-29,10983.574500352266,lever,lever
2010-12-30,10901.029792246212,lever,lever
2010-12-31,10800.960678436102,lever,lever
2011-01-03,11288.86267956462,lever,lever
2011-01-04,11271.333877150817,lever,lever
2011-01-05,11551.073655373377,lever,lever
2011-01-06,11655.519254064267,lever,lever
2011-01-07,11628.483006496555,lever,lever
2011-01-10,11759.237636963233,lever,lever
2011-01-11,11813.281993156284,lever,lever
2011-01-12,12052.860465878533,lever,lever
2011-01-13,12090.83396860943,lever,lever
2011-01-14,12353.046703102083,lever,lever
2011-01-18,12451.630608360125,lever,lever
2011-01-19,12034.60180964696,lever,lever
2011-01-20,11764.342216977886,lever,lever
2011-01-21,11495.56871220283,lever,lever
2011-01-24,11970.319275140275,lever,lever
2011-01-25,12011.94028827613,lever,lever
2011-01-26,12198.198982571403,lever,lever
2011-01-27,12433.373710812448,lever,lever
2011-01-28,11495.56871220283,lever,lever
2011-01-31,11665.757432377895,lever,lever
2011-02-01,12313.586233135222,lever,lever
2011-02-02,12258.077772596882,lever,lever
2011-02-03,12305.562237849483,lever,lever
2011-02-04,12527.610149474032,lever,lever
2011-02-07,12709.465099288103,lever,lever
2011-02-08,12980.453666432999,lever,lever
2011-02-09,12901.557348073855,lever,lever
2011-02-10,12964.384571654738,lever,lever
2011-02-11,13230.240419842607,lever,lever
2011-02-14,13313.511464398633,lever,lever
2011-02-15,13279.180196021003,lever,lever
2011-02-16,13524.593102575678,lever,lever
2011-02-17,13512.894337284557,lever,lever
2011-02-18,13436.2139606372,lever,lever
2011-02-22,12252.97407192418,lever,lever
2011-02-23,11950.600031931215,lever,lever
2011-02-24,12120.75973382196,lever,lever
2011-02-25,12640.077105424818,lever,lever
2011-02-28,12732.097602374612,lever,lever
2011-03-01,12120.030759346137,lever,lever
2011-03-02,12290.948453997024,lever,lever
2011-03-03,13024.26160299632,lever,lever
2011-03-04,12831.441259076695,lever,lever
2011-03-07,12320.173383676101,lever,lever
2011-03-08,12448.714710456838,lever,lever
2011-03-09,12197.469128753635,lever,lever
2011-03-10,11639.44927994406,lever,lever
2011-03-11,11833.731969525074,lever,lever
2011-03-14,11718.344718961254,lever,lever
2011-03-15,11239.193049568452,lever,lever
2011-03-16,10413.858524277413,lever,lever
2011-03-17,10685.575186556182,lever,lever
2011-03-18,10627.127085881926,lever,lever
2011-03-21,11220.204539519105,lever,lever
2011-03-22,11189.522540230333,lever,lever
2011-03-23,11358.981406587627,lever,lever
2011-03-24,11976.88092476463,lever,lever
2011-03-25,12064.526695517541,lever,lever
2011-03-28,11860.038363275014,lever,lever
2011-03-29,12200.385026656924,lever,lever
2011-03-30,12380.053932385475,lever,lever
2011-03-31,12432.64385699468,lever,lever
2011-04-01,12451.630608360127,lever,lever
2011-04-04,12339.162773067394,lever,lever
2011-04-05,12198.928836389177,lever,lever
2011-04-06,12290.948453997024,lever,lever
2011-04-07,12288.032556093734,lever,lever
2011-04-08,12103.9889241683,lever,lever
2011-04-11,11994.408847836485,lever,lever
2011-04-12,11757.776170643796,lever,lever
2011-04-13,12038.246682026076,lever,lever
2011-04-14,11972.50619856775,lever,lever
2011-04-15,11895.095088760672,lever,lever
2011-04-18,11665.7574323779,lever,lever
2011-04-19,11876.109216737173,lever,lever
2011-04-20,12666.383499174757,lever,lever
2011-04-21,12987.74516987512,lever,lever
2011-04-25,13084.144789731541,lever,lever
2011-04-26,13309.106840575481,lever,lever
2011-04-27,13585.199108393082,lever,lever
2011-04-28,13564.753528734042,lever,lever
2011-04-29,13499.010407249869,lever,lever
2011-05-02,13425.97842034942,lever,lever
2011-05-03,13224.37872640976,lever,lever
2011-05-04,13146.96937528658,lever,lever
2011-05-05,12949.770787802277,lever,lever
2011-05-06,13062.23950243696,lever,lever
2011-05-09,13203.93226740877,lever,lever
2011-05-10,13542.850000123359,lever,lever
2011-05-11,13250.685120159702,lever,lever
2011-05-12,13484.399261423254,lever,lever
2011-05-13,13006.732800582518,lever,lever
2011-05-16,12330.382543705413,lever,lever
2011-05-17,12431.182390675243,lever,lever
2011-05-18,12733.557310010157,lever,lever
2011-05-19,12843.135627658074,lever,lever
2011-05-20,12559.749218372504,lever,lever
2011-05-23,12014.855306837477,lever,lever
2011-05-24,11788.462566642314,lever,lever
2011-05-25,11919.918032642443,lever,lever
2011-05-26,12143.423013876687,lever,lever
2011-05-27,12324.548109872987,lever,lever
2011-05-31,12917.631718903813,lever,lever
2011-06-01,12092.294555586928,lever,lever
2011-06-02,12162.410644584088,lever,lever
2011-06-03,11610.224350264989,lever,lever
2011-06-06,11329.755597566607,lever,lever
2011-06-07,11264.040615024805,lever,lever
2011-06-08,11021.548882425113,lever,lever
2011-06-09,11069.761442811588,lever,lever
2011-06-10,10561.41210334013,lever,lever
2011-06-13,10568.7044861242,lever,lever
2011-06-14,10961.638436089466,lever,lever
2011-06-15,10362.729186645707,lever,base
2011-06-16,10301.997431730897,base,base
