lever,date,held_during_day,lever_close,base_close,signal_close,ma200,band,close_desired_for_next_day,event_at_close,fee,day_return_before_fee,equity_before,equity_after
TQQQ,2026-08-03,LEVER,67.95999908447266,700.0700073242188,67.95999908447266,59.203109683990476,0.03,LEVER,HOLD,0.0,0.05168672540898789,10000.0,10516.867254089879
TQQQ,2026-08-04,LEVER,74.81999969482422,723.8499755859375,74.81999969482422,59.32062900543213,0.03,LEVER,HOLD,0.0,0.10094174077054863,10516.867254089879,11578.458142170492
TQQQ,2026-08-05,LEVER,72.83999633789062,717.2999877929688,72.83999633789062,59.43110748291016,0.03,LEVER,HOLD,0.0,-0.026463557404566074,11578.458142170492,11272.050950468798
TQQQ,2026-08-06,LEVER,72.02999877929688,714.6500244140625,72.02999877929688,59.53271266937256,0.03,LEVER,HOLD,0.0,-0.011120230633130834,11272.050950468798,11146.703144191184
TQQQ,2026-08-07,LEVER,74.47000122070312,723.030029296875,74.47000122070312,59.63682149887085,0.03,LEVER,HOLD,0.0,0.03387480886793459,11146.703144191184,11524.295582708266
TQQQ,2026-08-10,LEVER,73.80000305175781,720.8699951171875,73.80000305175781,59.73787868499756,0.03,LEVER,HOLD,0.0,-0.008996886772697499,11524.295582708266,11420.612800215542
SOXL,2026-08-03,LEVER,116.70999908447266,507.67999267578125,116.70999908447266,98.93404994010925,0.08,LEVER,HOLD,0.0,0.017346564178822632,10000.0,10173.465641788227
SOXL,2026-08-04,LEVER,139.89999389648438,542.2100219726562,139.89999389648438,99.4336499118805,0.08,LEVER,HOLD,0.0,0.19869758370255153,10173.465641788227,12194.908682692476
SOXL,2026-08-05,LEVER,132.07000732421875,530.7000122070312,132.07000732421875,99.89114995002747,0.08,LEVER,HOLD,0.0,-0.05596845542437434,12194.908682692476,11512.378479680887
SOXL,2026-08-06,LEVER,132.3300018310547,532.52001953125,132.3300018310547,100.3513499546051,0.08,LEVER,HOLD,0.0,0.001968611285056321,11512.378479680887,11535.041877873826
SOXL,2026-08-07,LEVER,140.25,543.27001953125,140.25,100.84139994621277,0.08,LEVER,HOLD,0.0,0.059850359399652664,11535.041877873826,12225.418279954618
SOXL,2026-08-10,LEVER,130.0,529.3900146484375,130.0,101.2838499546051,0.08,LEVER,HOLD,0.0,-0.07308377896613194,12225.418279954618,11331.938512613906
