variant,cost_bps_side,slice,trades,pnl,pf
STRICT_30_35,5.0,H1,10,-17.716758224120223,0.8980970877994641
STRICT_30_35,5.0,JUL,1,-65.56756440320363,0.0
STRICT_30_35,5.0,AUG01_10,0,0.0,
STRICT_30_35,10.0,H1,10,-27.99590378870121,0.8434385250756381
STRICT_30_35,10.0,JUL,1,-66.5685382346512,0.0
STRICT_30_35,10.0,AUG01_10,0,0.0,
STRICT_30_35,20.0,H1,10,-48.499633803732635,0.7429977748447709
STRICT_30_35,20.0,JUL,1,-68.55714681735716,0.0
STRICT_30_35,20.0,AUG01_10,0,0.0,
MODERATE_35_40,5.0,H1,32,-61.78299663290966,0.8697457977595361
MODERATE_35_40,5.0,JUL,7,-139.514267385588,0.2395181239713751
MODERATE_35_40,5.0,AUG01_10,0,0.0,
MODERATE_35_40,10.0,H1,32,-96.94055431118663,0.8044476925060471
MODERATE_35_40,10.0,JUL,7,-145.61221091308417,0.22048196251274876
MODERATE_35_40,10.0,AUG01_10,0,0.0,
MODERATE_35_40,20.0,H1,32,-166.5457080937786,0.6904985995760357
MODERATE_35_40,20.0,JUL,7,-157.5032174126879,0.18519913158511175
MODERATE_35_40,20.0,AUG01_10,0,0.0,
