ticker,variant,entry_time,entry,buy,stop,R,shares,risk_dollars,bars,peak,be,exit_time,exit,exit_reason,pnl,mfe_R
AMAT,MODERATE_35_40,2026-01-02 10:30:00-05:00,267.2998962402344,267.5671961364746,255.3665637044945,11.93333253573988,3.142458310592529,37.5,6,283.9800109863281,True,2026-01-05 09:30:00-05:00,276.1199951171875,GAP_STOP,26.009118662391778,1.397775072146648
LLY,MODERATE_35_40,2026-01-02 13:30:00-05:00,1070.57470703125,1071.645281738281,1062.4844374879524,8.090269543297609,1.1675971716782887,9.446175836869289,3,1085.3800048828125,True,2026-01-05 09:30:00-05:00,1069.22998046875,GAP_STOP,-4.068528832124251,1.8300129275455306
ISRG,MODERATE_35_40,2026-01-12 15:30:00-05:00,573.5250244140625,574.0985494384765,567.021493729291,6.5035306847714764,2.1890677721346576,14.23666942712208,1,573.5250244140625,False,2026-01-13 09:30:00-05:00,567.021493729291,TRAIL_OR_STOP,-16.733403052609997,0.0
AMZN,MODERATE_35_40,2026-01-15 11:30:00-05:00,238.94000244140625,239.17894244384763,235.75557445377774,3.18442798762851,5.23688701728068,16.676489585876986,12,239.60800170898438,False,2026-01-20 09:30:00-05:00,233.6649932861328,GAP_STOP,-30.099605927715647,0.2097705679554694
GOOGL,MODERATE_35_40,2026-01-20 11:30:00-05:00,327.4549865722656,327.78244155883783,319.81285301130094,7.64213356096468,3.7983141079392233,29.02722371936796,5,327.4549865722656,False,2026-01-21 09:30:00-05:00,319.81285301130094,TRAIL_OR_STOP,-31.48575028607328,0.0
AMD,MODERATE_35_40,2026-01-29 12:30:00-05:00,248.4499969482422,248.6984469451904,239.97229107883555,8.477705869406634,4.373490222517486,37.077163729229014,4,252.22999572753906,False,2026-01-30 09:30:00-05:00,236.91000366210938,GAP_STOP,-52.59276502188957,0.44587519755051874
AMAT,MODERATE_35_40,2026-02-02 10:30:00-05:00,328.0299987792969,328.3580287780761,318.64817197177854,9.381826807518337,3.7275775719774424,34.97148719188208,6,338.44000244140625,True,2026-02-03 09:30:00-05:00,328.18118580703805,TRAIL_OR_STOP,-1.882516720362544,1.1095923934309986
AMZN,MODERATE_35_40,2026-02-03 15:30:00-05:00,237.3800048828125,237.6173848876953,234.89238758859355,2.48761729421895,5.149071581697924,12.808919515803078,1,238.77000427246094,False,2026-02-04 09:30:00-05:00,234.89238758859355,TRAIL_OR_STOP,-15.240683870697959,0.5587673766695141
META,MODERATE_35_40,2026-02-05 11:30:00-05:00,675.0900268554688,675.7651168823242,651.1923668345189,23.897660020949843,1.529618128096501,36.55429398713189,5,681.5,False,2026-02-06 09:30:00-05:00,651.1923668345189,TRAIL_OR_STOP,-38.58299957949517,0.26822597438041873
COST,MODERATE_35_40,2026-02-11 11:30:00-05:00,980.989990234375,981.9709802246093,965.5534502303301,15.4365400040449,1.232255913288214,19.0217677006944,12,1014.8800048828125,True,2026-02-13 09:30:00-05:00,999.1062714121715,TRAIL_OR_STOP,19.883909280837923,2.1954411182529996
XOM,MODERATE_35_40,2026-02-18 10:30:00-05:00,149.0399932861328,149.18903327941894,144.83566833267963,4.204324953453181,8.144134113940554,34.240586279509586,9,153.3800048828125,True,2026-02-19 12:30:00-05:00,151.04871629908374,TRAIL_OR_STOP,13.915346918289872,1.0322731103634275
WMT,MODERATE_35_40,2026-02-19 10:30:00-05:00,129.5,129.62949999999998,125.44559994517593,4.054400054824072,8.981366001750422,36.41405080989196,4,129.5,False,2026-02-19 14:30:00-05:00,125.44559994517593,TRAIL_OR_STOP,-38.703810553535284,0.0
WMT,MODERATE_35_40,2026-04-08 10:30:00-04:00,124.30000305175781,124.42430305480956,121.06492272063218,3.23508033112563,9.71524173858157,31.429587460616006,6,129.14999389648438,True,2026-04-09 09:30:00-04:00,127.0582958900365,TRAIL_OR_STOP,24.355475072457715,1.4991871447714662
V,MODERATE_35_40,2026-04-22 15:30:00-04:00,310.5400085449219,310.85054855346675,308.091080711909,2.448927833012874,3.9083319801828336,9.571222966924061,1,312.20001220703125,False,2026-04-23 09:30:00-04:00,308.091080711909,TRAIL_OR_STOP,-11.989038637001677,0.6778491549369591
ORCL,MODERATE_35_40,2026-04-24 15:30:00-04:00,174.32000732421875,174.49432733154296,169.55530167002144,4.764705654197314,6.945250894874835,33.09207620862909,1,174.32000732421875,False,2026-04-27 09:30:00-04:00,169.55530167002144,TRAIL_OR_STOP,-35.480376506146605,0.0
ISRG,MODERATE_35_40,2026-04-22 10:30:00-04:00,490.55999755859375,491.0505575561523,449.65865865512916,40.90133890346459,0.8902105498699662,36.41080339567105,26,490.55999755859375,False,2026-04-27 15:30:00-04:00,470.94000244140625,TIME,-18.32186408541746,0.0
JPM,MODERATE_35_40,2026-04-27 10:30:00-04:00,310.7799987792969,311.0907787780761,306.45826917976274,4.321729599534137,3.8671281853954462,16.712682344016237,6,315.45001220703125,True,2026-04-28 09:30:00-04:00,312.1578731564757,TRAIL_OR_STOP,2.919436237609562,1.0805889910923119
WMT,MODERATE_35_40,2026-04-29 09:30:00-04:00,126.68000030517578,126.80668030548094,126.57264871534336,0.10735158983241888,9.456705737990777,1.015192395550668,1,127.07499694824219,True,2026-04-29 10:30:00-04:00,126.4000015258789,GAP_STOP,-5.041169168293458,3.679467101353743
AVGO,MODERATE_35_40,2026-04-29 15:30:00-04:00,403.80999755859375,404.2138075561523,395.6857624331433,8.124235125450468,2.9635600919189966,24.07665899515153,1,418.3800048828125,True,2026-04-30 09:30:00-04:00,408.7301682031268,TRAIL_OR_STOP,12.173209759237036,1.7934004985375014
CSCO,MODERATE_35_40,2026-04-29 09:30:00-04:00,87.10269927978516,87.18980197906494,85.61088824697384,1.491811032811313,13.753597714883403,20.517768811911523,14,92.91999816894531,True,2026-05-01 09:30:00-04:00,91.51487300487302,TRAIL_OR_STOP,58.226628229024904,3.899487777749891
V,MODERATE_35_40,2026-05-05 14:30:00-04:00,321.92999267578125,322.251922668457,319.02735698226167,2.902635693519585,3.7719851539355314,10.94869874323924,3,324.5799865722656,False,2026-05-06 10:30:00-04:00,319.02735698226167,TRAIL_OR_STOP,-13.366380350455008,0.9129612449818428
AVGO,MODERATE_35_40,2026-05-12 14:30:00-04:00,415.57989501953125,415.99547491455075,407.0618918750937,8.518003144437557,2.9139368203437623,24.820922998380546,2,420.0899963378906,False,2026-05-13 09:30:00-04:00,407.0618918750937,TRAIL_OR_STOP,-27.21804919116617,0.5294787101956602
GOOGL,MODERATE_35_40,2026-05-13 09:30:00-04:00,385.3699951171875,385.7553651123047,383.3192311814951,2.0507639356923733,3.1247088793927484,6.408040279396378,7,403.70001220703125,True,2026-05-14 09:30:00-04:00,397.052633349306,TRAIL_OR_STOP,34.06000048402693,8.938140939003405
ORCL,MODERATE_35_40,2026-05-13 09:30:00-04:00,188.5399932861328,188.7285332794189,182.7700398774098,5.769953408723012,6.2608948129828255,36.12507136782648,7,195.39990234375,True,2026-05-14 09:30:00-04:00,188.17999267578125,GAP_STOP,-4.612530160076384,1.188901984415746
LLY,MODERATE_35_40,2026-05-11 10:30:00-04:00,987.1199951171875,988.1071151123045,940.4648222204073,46.655172896780186,0.7786747852619662,36.32920673676022,26,1022.8209838867188,False,2026-05-14 15:30:00-04:00,1007.7949829101562,TIME,14.545701687852528,0.7652096552833713
ORCL,MODERATE_35_40,2026-05-18 13:30:00-04:00,186.75999450683594,186.94675450134275,182.87604034393766,3.883954162898277,6.506571933705472,25.271227148112462,3,188.72479248046875,False,2026-05-19 09:30:00-04:00,182.87604034393766,TRAIL_OR_STOP,-27.67629059815848,0.5058756852492421
AMD,MODERATE_35_40,2026-05-19 09:30:00-04:00,414.0899963378906,414.5040863342285,408.51582699109207,5.574169346798556,2.917839785150754,16.264533089256616,1,414.0899963378906,False,2026-05-19 10:30:00-04:00,395.9800109863281,GAP_STOP,-55.20569026341422,0.0
MU,MODERATE_35_40,2026-05-19 12:30:00-04:00,708.8300170898438,709.5388471069335,646.5142675299551,62.31574955988867,0.5750296763583891,35.83340530145321,25,879.219970703125,True,2026-05-26 09:30:00-04:00,820.5,GAP_STOP,63.33414398700166,2.7342999934475256
AMD,MODERATE_35_40,2026-05-19 12:30:00-04:00,414.9800109863281,415.3949909973144,390.65592128098046,24.32408970534766,1.4731653161752327,35.83340530145321,26,496.889892578125,True,2026-05-26 10:30:00-04:00,490.1199951171875,TIME,109.36025654287782,3.3674387236694394
AMAT,MODERATE_35_40,2026-06-08 10:30:00-04:00,483.94000244140625,484.4239424438476,450.3661438280109,33.57385861339537,1.1058786460312804,37.128613305427315,6,525.9799194335938,True,2026-06-09 09:30:00-04:00,503.0150146484375,GAP_STOP,20.00319619454885,1.2521622097799125
