strategy,exit_spec,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,initial_stop,active_stop,first_entry,R,target1,target2,level,shares,cash_out,cash_in,commissions,taxes,partial_taken,added20,added60,bars_held,last_mark,mfe_R,mae_R,entry_i,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,277810.KQ,277810,KOSDAQ,레인보우로보틱스,KRLEVEL_RR|277810|2T|246|250|251,2023-10-13 00:00:00+00:00,5000000.0,1,859973.8566130647,50000.0,132802.07637036103,132802.07637036103,132802.07637036103,141000.0,8197.923629638972,149197.92362963897,inf,141350.0,0,278941.83499999996,264829.39,81.64499999999998,530.8,False,True,False,7,138500.0,0.6099105366050104,-1.0490461229606178,252,2023-10-16 00:00:00+00:00,132802.07637036103,stop,LOSS,-14112.444999999949,2,"[{""time"": ""2023-10-13 00:00:00+00:00"", ""price"": 141000.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-10-13 00:00:00+00:00"", ""price"": 137900.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-16 00:00:00+00:00"", ""price"": 132700.0, ""shares"": 2, ""reason"": ""stop""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,420770.KQ,420770,KOSDAQ,기가비스,KRLEVEL_RR|420770|2T|262|267|269,2023-10-18 00:00:00+00:00,5000000.0,1,997177.5109999999,22602.594177415558,71443.0737094019,71443.0737094019,71443.0737094019,73100.0,1656.9262905981013,74756.9262905981,inf,72950.0,0,291443.70999999996,280994.56,85.94999999999999,563.2,False,True,False,6,70500.0,0.5431744339545284,-0.7242325786060377,270,2023-10-19 00:00:00+00:00,70500.0,gap_stop,LOSS,-10449.149999999965,2,"[{""time"": ""2023-10-18 00:00:00+00:00"", ""price"": 73100.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-10-18 00:00:00+00:00"", ""price"": 72600.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-19 00:00:00+00:00"", ""price"": 70400.0, ""shares"": 4, ""reason"": ""gap_stop""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,336570.KQ,336570,KOSDAQ,원텍,KRLEVEL_RR|336570|2T|433|439|440,2023-11-27 04:00:00+00:00,5000000.0,1,773055.6388496698,49754.38404999999,9272.185693814747,9272.185693814747,10676.243174692036,9910.0,637.8143061852534,10547.814306185253,inf,9875.0,0,148672.2975,158648.1715,46.146,317.98,True,False,False,22,10980.0,1.9441395214484913,-0.2351781679171562,441,2023-12-01 01:00:00+00:00,10676.243174692036,stop,BE_STOP,9975.87400000001,1,"[{""time"": ""2023-11-27 04:00:00+00:00"", ""price"": 9910.0, ""shares"": 15, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-11-30 00:00:00+00:00"", ""price"": 10530.0, ""shares"": 7, ""reason"": ""target1_partial""}, {""time"": ""2023-12-01 01:00:00+00:00"", ""price"": 10660.0, ""shares"": 8, ""reason"": ""stop""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,225570.KQ,225570,KOSDAQ,넥슨게임즈,KRLEVEL_RR|225570|2T|484|487|488,2023-12-07 04:00:00+00:00,5000000.0,1,997082.8557999999,29845.07907486122,15501.680308870995,15501.680308870995,15501.680308870995,15980.0,478.31969112900515,16458.319691129007,inf,15925.0,0,381417.204,384132.336,114.94799999999998,769.9200000000001,False,True,False,26,16050.0,0.7735412253814347,-0.4181303920980728,489,2023-12-13 05:00:00+00:00,16050.0,time,TIME,2715.1319999999832,2,"[{""time"": ""2023-12-07 04:00:00+00:00"", ""price"": 15980.0, ""shares"": 12, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-12-07 05:00:00+00:00"", ""price"": 15800.0, ""shares"": 12, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-12-13 05:00:00+00:00"", ""price"": 16040.0, ""shares"": 24, ""reason"": ""time""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,372170.KQ,372170,KOSDAQ,윤성에프앤씨,KRLEVEL_RR|372170|2T|489|490|491,2023-12-08 01:00:00+00:00,5000000.0,1,997551.4149999997,29628.71345226547,104501.1549171037,104501.1549171037,104501.1549171037,107700.0,3198.845082896296,110898.8450828963,inf,107200.0,0,214332.14500000002,211743.77000000002,63.974999999999994,424.40000000000003,False,True,False,26,106200.0,0.719009498864989,-0.7502707814243363,492,2023-12-14 02:00:00+00:00,106200.0,time,TIME,-2588.375,2,"[{""time"": ""2023-12-08 01:00:00+00:00"", ""price"": 107700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-12-08 01:00:00+00:00"", ""price"": 106600.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-12-14 02:00:00+00:00"", ""price"": 106100.0, ""shares"": 2, ""reason"": ""time""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,336570.KQ,336570,KOSDAQ,원텍,KRLEVEL_RR|336570|2T|515|518|520,2023-12-15 00:00:00+00:00,5000000.0,1,997108.2071999997,14213.327408124402,9798.309786824953,9798.309786824953,9798.309786824953,9940.0,141.69021317504667,10081.690213175047,inf,9930.0,0,198829.82,195179.46,59.16,391.2,False,False,False,1,9940.0,0.6351885425481884,-3.4582487316512474,521,2023-12-15 00:00:00+00:00,9798.309786824953,stop,LOSS,-3650.360000000015,1,"[{""time"": ""2023-12-15 00:00:00+00:00"", ""price"": 9940.0, ""shares"": 20, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-12-15 00:00:00+00:00"", ""price"": 9780.0, ""shares"": 20, ""reason"": ""stop""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,009520.KQ,009520,KOSDAQ,포스코엠텍,KRLEVEL_RR|009520|6T|549|554|555,2023-12-22 05:00:00+00:00,5000000.0,1,896447.985831339,49818.90675999998,22382.903962222586,22382.903962222586,28584.018513968113,23700.0,1317.0960377774136,25017.096037777414,inf,23550.0,0,328699.2975,373345.5775,105.42,748.3,True,True,False,9,29950.0,4.7452879826036165,-0.6073968617732629,556,2023-12-27 01:00:00+00:00,28584.018513968113,stop,BE_STOP,44646.28000000003,2,"[{""time"": ""2023-12-22 05:00:00+00:00"", ""price"": 23700.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-12-26 00:00:00+00:00"", ""price"": 23250.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-12-27 00:00:00+00:00"", ""price"": 24950.0, ""shares"": 7, ""reason"": ""target1_partial""}, {""time"": ""2023-12-27 01:00:00+00:00"", ""price"": 28500.0, ""shares"": 7, ""reason"": ""stop""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,122870.KQ,122870,KOSDAQ,와이지엔터테인먼트,KRLEVEL_RR|122870|2T|568|570|572,2023-12-28 04:00:00+00:00,5000000.0,1,1005303.5931999999,32512.67281988874,49253.83554010325,49253.83554010325,49253.83554010325,50900.0,1646.1644598967468,52546.16445989675,inf,50700.0,0,152722.905,144467.73750000002,44.61749999999999,260.55,False,False,False,2,48300.0,0.12149454375448289,-0.18224181563172434,573,2024-01-02 01:00:00+00:00,48300.0,gap_stop,LOSS,-8255.167499999981,1,"[{""time"": ""2023-12-28 04:00:00+00:00"", ""price"": 50900.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-01-02 01:00:00+00:00"", ""price"": 48250.0, ""shares"": 3, ""reason"": ""gap_stop""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,086520.KQ,086520,KOSDAQ,에코프로,KRLEVEL_RR|086520|2T|567|571|572,2023-12-28 04:00:00+00:00,5000000.0,1,1005307.3912,19609.322348606594,124130.56604272025,124130.56604272025,126600.0,126600.0,2469.433957279747,129069.43395727975,inf,126274.515625,0,252437.86,254103.53,76.04999999999998,458.28,True,True,False,3,125882.3515625,1.138627585771662,-0.6082207353925408,573,2024-01-02 02:00:00+00:00,125882.3515625,gap_stop,BE_STOP,1665.6700000000128,2,"[{""time"": ""2023-12-28 04:00:00+00:00"", ""price"": 126600.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2024-01-02 01:00:00+00:00"", ""price"": 125800.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2024-01-02 01:00:00+00:00"", ""price"": 128900.0, ""shares"": 1, ""reason"": ""target1_partial""}, {""time"": ""2024-01-02 02:00:00+00:00"", ""price"": 125700.0, ""shares"": 1, ""reason"": ""gap_stop""}]"
KOSDAQ|VALIDATE|no_min_r_atr|trail_1p5ATR|5000000.0|1T,trail_1p5ATR,393890.KQ,393890,KOSDAQ,더블유씨피,KRLEVEL_RR|393890|2T|641|643|644,2024-01-17 05:00:00+00:00,5000000.0,1,774942.8153892676,50199.47458499998,42599.34864619894,42599.34864619894,47044.86656493965,45550.0,2950.651353801062,48500.65135380106,inf,45325.0,0,136670.4975,142072.41749999998,41.849999999999994,256.22999999999996,True,False,False,6,48050.0,1.1522879501233114,-0.2711265764996027,645,2024-01-18 04:00:00+00:00,47044.86656493965,stop,BE_STOP,5401.919999999984,1,"[{""time"": ""2024-01-17 05:00:00+00:00"", ""price"": 45550.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-01-18 01:00:00+00:00"", ""price"": 48450.0, ""shares"": 1, ""reason"": ""target1_partial""}, {""time"": ""2024-01-18 04:00:00+00:00"", ""price"": 46950.0, ""shares"": 2, ""reason"": ""stop""}]"
