strategy,exit_spec,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,initial_stop,active_stop,first_entry,R,target1,target2,level,shares,cash_out,cash_in,commissions,taxes,partial_taken,added20,added60,bars_held,last_mark,mfe_R,mae_R,entry_i,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|3T|393|398|400,2023-11-17 00:00:00+00:00,5000000.0,1,1000000.0,9031.318048754734,133853.08376454705,135465.41882273523,135465.41882273523,136700.0,1234.5811772647721,137934.58117726477,inf,137200.0,0,136720.505,137503.72999999998,41.175,275.6,False,False,False,1,136700.0,2.3489747401017254,-0.080999128969025,401,2023-11-17 00:00:00+00:00,137934.58117726477,target1_full,WIN,783.2249999999767,1,"[{""time"": ""2023-11-17 00:00:00+00:00"", ""price"": 136700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-11-17 00:00:00+00:00"", ""price"": 137800.0, ""shares"": 1, ""reason"": ""target1_full""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,034020.KS,034020,KOSPI,두산에너빌리티,KRLEVEL_RR|034020|2T|410|412|413,2023-11-21 01:00:00+00:00,5000000.0,1,1000156.645,10463.766424371772,14259.220420646707,14556.10210323353,14556.10210323353,14710.0,153.89789676646978,14863.89789676647,inf,14670.0,0,191258.6845,188613.607,57.037499999999994,378.04,False,False,False,6,14750.0,0.45484702176417996,-1.689431795124097,414,2023-11-22 00:00:00+00:00,14556.10210323353,stop,LOSS,-2645.077500000014,1,"[{""time"": ""2023-11-21 01:00:00+00:00"", ""price"": 14710.0, ""shares"": 13, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-11-22 00:00:00+00:00"", ""price"": 14540.0, ""shares"": 13, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,015760.KS,015760,KOSPI,한국전력,KRLEVEL_RR|015760|4T|422|423|424,2023-11-23 00:00:00+00:00,5000000.0,1,999627.6294999998,7889.625881675092,17881.492055797953,17917.460278989765,18803.150887789623,18060.0,142.53972101023464,18202.539721010235,inf,18060.0,0,198689.799,204449.4865,60.532499999999985,409.78,True,False,False,18,19000.0,7.997770669960451,-0.0701558830698285,425,2023-11-27 05:00:00+00:00,19000.0,time,TIME,5759.6875,1,"[{""time"": ""2023-11-23 00:00:00+00:00"", ""price"": 18060.0, ""shares"": 11, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-11-23 00:00:00+00:00"", ""price"": 18190.0, ""shares"": 5, ""reason"": ""target1_partial""}, {""time"": ""2023-11-27 05:00:00+00:00"", ""price"": 18990.0, ""shares"": 6, ""reason"": ""time""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-01 05:00:00+00:00,5000000.0,1,1000779.5669999998,8183.259365333467,35990.14520227086,36300.7260113543,36300.7260113543,36600.0,299.2739886456984,36899.2739886457,inf,36500.0,0,365804.86250000005,363217.4,109.46249999999999,728.0,False,True,False,1,36550.0,0.0,-0.6682839390922612,466,2023-12-01 05:00:00+00:00,36450.0,ma32_exit,MA_EXIT,-2587.4625000000233,2,"[{""time"": ""2023-12-01 05:00:00+00:00"", ""price"": 36600.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-12-01 05:00:00+00:00"", ""price"": 36550.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-12-01 05:00:00+00:00"", ""price"": 36400.0, ""shares"": 10, ""reason"": ""ma32_exit""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,003550.KS,003550,KOSPI,LG,KRLEVEL_RR|003550|2T|516|518|519,2023-12-14 05:00:00+00:00,5000000.0,1,1000262.0745,9033.089733862287,82746.29709434182,84331.48547170906,85100.0,85100.0,768.5145282909361,85868.51452829094,inf,84900.0,0,170225.53,170332.995,51.135,341.4,True,False,False,1,85100.0,1.301211575302101,-0.39036347259063026,520,2023-12-15 00:00:00+00:00,85100.0,gap_stop,BE_STOP,107.46499999999651,1,"[{""time"": ""2023-12-14 05:00:00+00:00"", ""price"": 85100.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-12-14 05:00:00+00:00"", ""price"": 85700.0, ""shares"": 1, ""reason"": ""target1_partial""}, {""time"": ""2023-12-15 00:00:00+00:00"", ""price"": 85000.0, ""shares"": 1, ""reason"": ""gap_stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 00:00:00+00:00,5000000.0,1,1000283.5674999999,7444.348104388926,48475.94973460996,49379.748673049806,49750.0,49750.0,370.2513269501942,50120.251326950194,inf,49700.0,0,199029.85,199370.43,59.81999999999999,399.6,True,False,False,18,49950.0,1.7555642686121615,-0.27008681055571715,545,2023-12-26 05:00:00+00:00,49950.0,time,TIME,340.5799999999872,1,"[{""time"": ""2023-12-21 00:00:00+00:00"", ""price"": 49750.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-12-22 00:00:00+00:00"", ""price"": 50000.0, ""shares"": 2, ""reason"": ""target1_partial""}, {""time"": ""2023-12-26 05:00:00+00:00"", ""price"": 49900.0, ""shares"": 2, ""reason"": ""time""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,017670.KS,017670,KOSPI,SK텔레콤,KRLEVEL_RR|017670|2T|572|573|574,2024-01-02 01:00:00+00:00,5000000.0,1,1000351.6834999999,5679.858619345584,49043.61883223631,49368.09416118156,49368.09416118156,49650.0,281.90583881844213,49931.90583881844,inf,49650.0,0,198629.79,196815.46000000002,59.37,354.96,False,False,False,1,49650.0,0.3547283746201643,-1.064185123860493,575,2024-01-02 01:00:00+00:00,49368.09416118156,stop,LOSS,-1814.3299999999872,1,"[{""time"": ""2024-01-02 01:00:00+00:00"", ""price"": 49650.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-01-02 01:00:00+00:00"", ""price"": 49300.0, ""shares"": 4, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,042660.KS,042660,KOSPI,한화오션,KRLEVEL_RR|042660|2T|569|574|576,2024-01-02 03:00:00+00:00,5000000.0,1,999988.8174999999,15941.352122039047,24019.495271539578,24847.476357697884,24847.476357697884,25250.0,402.52364230211606,25652.523642302116,inf,25125.0,0,927939.17,913964.2875,276.53249999999997,1648.35,False,True,True,5,24850.0,0.6210815309386506,-1.2421630618773012,577,2024-01-03 01:00:00+00:00,24847.476357697884,stop,LOSS,-13974.882500000065,3,"[{""time"": ""2024-01-02 03:00:00+00:00"", ""price"": 25250.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2024-01-02 03:00:00+00:00"", ""price"": 25150.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""adverse20""}, {""time"": ""2024-01-03 00:00:00+00:00"", ""price"": 25000.0, ""shares"": 23, ""fraction"": 0.6, ""reason"": ""support60""}]","[{""time"": ""2024-01-03 01:00:00+00:00"", ""price"": 24750.0, ""shares"": 37, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|616|619|621,2024-01-12 00:00:00+00:00,5000000.0,1,997193.8409999999,10571.156790634126,36571.023260621776,36855.116303108894,36855.116303108894,37250.0,394.8836968911055,37644.883696891106,inf,37350.0,0,186277.9375,183641.19999999998,55.537499999999994,331.2,False,False,False,1,37250.0,0.0,-1.1395760411048157,622,2024-01-12 00:00:00+00:00,36855.116303108894,stop,LOSS,-2636.7375000000175,1,"[{""time"": ""2024-01-12 00:00:00+00:00"", ""price"": 37250.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-01-12 00:00:00+00:00"", ""price"": 36800.0, ""shares"": 5, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,323410.KS,323410,KOSPI,카카오뱅크,KRLEVEL_RR|323410|2T|630|632|633,2024-01-16 00:00:00+00:00,5000000.0,1,996666.4934999999,30333.41637968264,27811.60814714372,30008.040735718605,30008.040735718605,30950.0,941.959264281395,31891.959264281395,inf,30750.0,0,185727.855,179349.58500000002,54.809999999999995,323.46,False,False,False,1,30950.0,0.3184851101059715,-1.1146978853709002,634,2024-01-16 00:00:00+00:00,30008.040735718605,stop,LOSS,-6378.2699999999895,1,"[{""time"": ""2024-01-16 00:00:00+00:00"", ""price"": 30950.0, ""shares"": 6, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-01-16 00:00:00+00:00"", ""price"": 29950.0, ""shares"": 6, ""reason"": ""stop""}]"
