market,ticker,bars_60m,bars_daily,status
KOSDAQ,086520.KQ,4301,1219,OK
KOSDAQ,028300.KQ,4367,1219,OK
KOSDAQ,068760.KQ,4367,1219,OK
KOSDAQ,041510.KQ,4367,1219,OK
KOSDAQ,048260.KQ,0,0,FAIL
KOSDAQ,403870.KQ,4367,993,OK
KOSDAQ,277810.KQ,4367,1219,OK
KOSDAQ,393890.KQ,4367,941,OK
KOSDAQ,214370.KQ,4307,1219,OK
KOSDAQ,328130.KQ,4367,989,OK
KOSDAQ,357780.KQ,4362,1219,OK
KOSDAQ,383310.KQ,4367,1219,OK
KOSDAQ,005290.KQ,4367,1219,OK
KOSDAQ,121600.KQ,4367,1219,OK
KOSDAQ,372170.KQ,4367,910,OK
KOSDAQ,095340.KQ,4367,1219,OK
KOSDAQ,365340.KQ,4367,983,OK
KOSDAQ,253450.KQ,4367,1219,OK
KOSDAQ,122870.KQ,4367,1219,OK
KOSDAQ,086900.KQ,4367,1219,OK
KOSDAQ,000250.KQ,4367,1219,OK
KOSDAQ,112040.KQ,4367,1219,OK
KOSDAQ,440110.KQ,0,0,FAIL
KOSDAQ,078600.KQ,4367,1219,OK
KOSDAQ,140860.KQ,4367,1219,OK
KOSDAQ,034230.KQ,0,0,FAIL
KOSDAQ,039200.KQ,4367,1219,OK
KOSDAQ,009520.KQ,4367,1219,OK
KOSDAQ,140410.KQ,4367,1219,OK
KOSDAQ,225570.KQ,4367,1219,OK
KOSDAQ,281740.KQ,4367,1219,OK
KOSDAQ,222800.KQ,4367,1219,OK
KOSDAQ,336570.KQ,4367,1219,OK
KOSDAQ,096530.KQ,4367,1219,OK
KOSDAQ,101490.KQ,4367,1219,OK
KOSDAQ,420770.KQ,4367,779,OK
KOSDAQ,064550.KQ,4367,1219,OK
KOSDAQ,348370.KQ,4361,1166,OK
KOSDAQ,067160.KQ,4367,1219,OK
KOSDAQ,085370.KQ,0,0,FAIL
KOSPI,005930.KS,4367,1219,OK
KOSPI,373220.KS,4367,1105,OK
KOSPI,000660.KS,4367,1219,OK
KOSPI,207940.KS,4266,1219,OK
KOSPI,005490.KS,4367,1219,OK
KOSPI,051910.KS,4367,1219,OK
KOSPI,006400.KS,4367,1219,OK
KOSPI,005380.KS,4367,1219,OK
KOSPI,035420.KS,4367,1219,OK
KOSPI,003670.KS,4367,1219,OK
KOSPI,000270.KS,4367,1219,OK
KOSPI,035720.KS,4367,1219,OK
KOSPI,068270.KS,4367,1219,OK
KOSPI,012330.KS,4367,1219,OK
KOSPI,105560.KS,4367,1219,OK
KOSPI,028260.KS,4367,1219,OK
KOSPI,055550.KS,4367,1219,OK
KOSPI,096770.KS,4367,1219,OK
KOSPI,066570.KS,4367,1219,OK
KOSPI,047050.KS,4367,1219,OK
KOSPI,032830.KS,4367,1219,OK
KOSPI,323410.KS,4367,1219,OK
KOSPI,003550.KS,4367,1219,OK
KOSPI,015760.KS,4367,1219,OK
KOSPI,329180.KS,4367,1192,OK
KOSPI,000810.KS,4367,1219,OK
KOSPI,033780.KS,4367,1219,OK
KOSPI,086790.KS,4367,1219,OK
KOSPI,352820.KS,4367,1219,OK
KOSPI,009150.KS,4367,1219,OK
KOSPI,034730.KS,4367,1219,OK
KOSPI,034020.KS,4367,1219,OK
KOSPI,018260.KS,4367,1219,OK
KOSPI,017670.KS,4367,1219,OK
KOSPI,042660.KS,4367,1219,OK
KOSPI,010130.KS,4367,1219,OK
KOSPI,003490.KS,4367,1219,OK
KOSPI,010950.KS,4367,1219,OK
KOSPI,009540.KS,4367,1219,OK
KOSPI,011200.KS,4367,1219,OK
