market,strategy_id,family,signal_key,entry_scheme,development_candidate,source_role,capital,slippage_ticks,window,development_score,rejects,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
US,NORAMU_C1_SUPPORT_20_20_60,NORAMU,NORAMU_C1,A,True,source signal; source-supported split example; exact add levels are research controls,5000.0,0,DEVELOPMENT_TO_2025,-1.7104003066115196,65,25,12,13,-75.48746999999993,-0.015097493999999823,0.43810459606617685,0.48,4.904739583333345,10.334180384615392,0.4746133124050249,0.02017681741520594
US,NORAMU_C1_SUPPORT_20_20_60,NORAMU,NORAMU_C1,A,True,source signal; source-supported split example; exact add levels are research controls,5000.0,1,DEVELOPMENT_TO_2025,-1.718455480251854,65,25,12,13,-77.27759499999982,-0.015455518999999529,0.43058653769777455,0.48,4.869732083333338,10.439567692307683,0.4664687491725892,0.02034921936902545
US,NORAMU_C1_SUPPORT_20_20_60,NORAMU,NORAMU_C1,A,True,source signal; source-supported split example; exact add levels are research controls,5000.0,2,DEVELOPMENT_TO_2025,-1.726673203142192,65,25,12,13,-79.17777500000038,-0.015835554999999446,0.4230054862293694,0.48,4.837225833333328,10.555729615384639,0.45825594341515014,0.02053771665711157
US,NORAMU_C1_RECONFIRM_20_20_60,NORAMU,NORAMU_C1,R,True,source signal; source-supported re-break weighting; exact trigger tolerances are research controls,5000.0,0,DEVELOPMENT_TO_2025,-1.6937040431608907,65,25,12,13,-76.91743999999966,-0.015383487999999668,0.4598560762069305,0.48,5.457025833333348,10.953980769230755,0.4981774158908413,0.01694551231358521
US,NORAMU_C1_RECONFIRM_20_20_60,NORAMU,NORAMU_C1,R,True,source signal; source-supported re-break weighting; exact trigger tolerances are research controls,5000.0,1,DEVELOPMENT_TO_2025,-1.701650248277409,65,25,12,13,-78.50753499999976,-0.015701506999999726,0.4522287440671089,0.48,5.4011845833333405,11.024749999999987,0.48991447273936795,0.01726341639217177
US,NORAMU_C1_RECONFIRM_20_20_60,NORAMU,NORAMU_C1,R,True,source signal; source-supported re-break weighting; exact trigger tolerances are research controls,5000.0,2,DEVELOPMENT_TO_2025,-1.7095153725514216,65,25,12,13,-80.09763000000001,-0.016019525999999673,0.44469870893829405,0.48,5.345343333333358,11.095519230769252,0.48175693468315184,0.017581321742425327
US,NORAMU_C1_STANDARDIZED_FULL,NORAMU,NORAMU_C1,FULL,False,signal-only comparator using the same standardized executor as Dororong,5000.0,0,DEVELOPMENT_TO_2025,-1.2207749031639543,46,44,23,21,-72.67616499999906,-0.014535233000000147,0.8519012618360446,0.5227272727272727,18.176157173913083,23.367989523809527,0.7778228912416059,0.04587421382950718
US,NORAMU_C1_STANDARDIZED_FULL,NORAMU,NORAMU_C1,FULL,False,signal-only comparator using the same standardized executor as Dororong,5000.0,1,DEVELOPMENT_TO_2025,-1.2330090095037973,46,44,23,21,-76.99650499999922,-0.015399301000000198,0.8439874954962022,0.5227272727272727,18.11005543478263,23.501322857142846,0.7705972784965325,0.04632939675201886
US,NORAMU_C1_STANDARDIZED_FULL,NORAMU,NORAMU_C1,FULL,False,signal-only comparator using the same standardized executor as Dororong,5000.0,2,DEVELOPMENT_TO_2025,-1.2451538258758221,46,44,23,21,-81.31684499999949,-0.01626336900000025,0.8361630191241776,0.5227272727272727,18.043953695652203,23.634656190476193,0.7634531913742492,0.04678459238510857
US,DORORONG_PRE1_CHANNEL_HL_VOLUME,DORORONG,DORORONG_PRE1,FULL,True,pre-adoption independent concept; numeric channel and volume thresholds are research proxies,5000.0,0,DEVELOPMENT_TO_2025,-1.4469085288941437,997,411,201,210,-344.98543999999697,-0.06899708799999804,0.8980769111058532,0.48905109489051096,15.123268507462694,16.117916238095226,0.9382893101105929,0.08325840581738597
