market,ticker,daily_rows,intraday_session_rows,daily_start,daily_end,intraday_start,intraday_end,usable
KR,069500.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,102110.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,278530.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,229200.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,232080.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,091160.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,396500.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,091180.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,091170.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,266420.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,305720.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,305540.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,117700.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,117680.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,140700.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,139260.KS,1199,729,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,139220.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
KR,139270.KS,1199,728,2021-08-10,2026-08-10,2023-08-08,2026-08-10,True
