market,entry_mode,window,cost,trades,net_r,pf,mdd_r,selection_rule,pre_registered_gate
US,DAILY_5_20_CROSS,DEVELOPMENT_TO_2025,5bp_side,34,-1.391749,0.896706,6.309459,top1_momentum_per_day_max3_active,false
US,DAILY_5_20_CROSS,VALIDATION_2026_H1,5bp_side,15,-7.803588,0.269236,9.932200,top1_momentum_per_day_max3_active,false
US,DAILY_5_20_CROSS,STRESS_2026_07_PLUS,10bp_side,6,-1.248356,0.259037,1.633051,top1_momentum_per_day_max3_active,false
US,CROSS_60M_REGIME,DEVELOPMENT_TO_2025,5bp_side,22,-0.652899,0.918920,5.033355,top1_momentum_per_day_max3_active,false
US,CROSS_60M_REGIME,VALIDATION_2026_H1,5bp_side,7,-5.618108,0.000000,5.618108,top1_momentum_per_day_max3_active,false
US,CROSS_60M_REGIME,STRESS_2026_07_PLUS,10bp_side,1,-0.190593,0.000000,0.190593,top1_momentum_per_day_max3_active,false
US,MA20_RECLAIM_60M,DEVELOPMENT_TO_2025,5bp_side,35,8.071546,1.625843,5.722863,top1_momentum_per_day_max3_active,false
US,MA20_RECLAIM_60M,VALIDATION_2026_H1,5bp_side,16,-9.263449,0.155669,10.117420,top1_momentum_per_day_max3_active,false
US,MA20_RECLAIM_60M,STRESS_2026_07_PLUS,10bp_side,4,-0.630073,0.229421,0.630073,top1_momentum_per_day_max3_active,false
KR,DAILY_5_20_CROSS,DEVELOPMENT_TO_2025,5bp_side,16,21.570256,4.615458,3.428170,top1_momentum_per_day_max3_active,false
KR,DAILY_5_20_CROSS,VALIDATION_2026_H1,5bp_side,9,16.906664,38.058162,0.349172,top1_momentum_per_day_max3_active,false
KR,DAILY_5_20_CROSS,STRESS_2026_07_PLUS,10bp_side,2,-0.740607,0.000000,0.740607,top1_momentum_per_day_max3_active,false
KR,CROSS_60M_REGIME,DEVELOPMENT_TO_2025,5bp_side,6,0.250172,1.145730,1.109223,top1_momentum_per_day_max3_active,false
KR,CROSS_60M_REGIME,VALIDATION_2026_H1,5bp_side,4,0.666579,2.461093,0.349172,top1_momentum_per_day_max3_active,false
KR,CROSS_60M_REGIME,STRESS_2026_07_PLUS,10bp_side,0,0.000000,0.000000,0.000000,top1_momentum_per_day_max3_active,false
KR,MA20_RECLAIM_60M,DEVELOPMENT_TO_2025,5bp_side,12,10.480196,3.930274,2.135251,top1_momentum_per_day_max3_active,false
KR,MA20_RECLAIM_60M,VALIDATION_2026_H1,5bp_side,11,0.541250,1.148748,2.620507,top1_momentum_per_day_max3_active,false
KR,MA20_RECLAIM_60M,STRESS_2026_07_PLUS,10bp_side,0,0.000000,0.000000,0.000000,top1_momentum_per_day_max3_active,false
