market,ticker,daily_rows,intraday_session_rows,daily_start,daily_end,intraday_start,intraday_end,usable
US,SPY,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,QQQ,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,DIA,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,IWM,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,RSP,1255,723,2021-08-09,2026-08-07,2023-09-20,2026-08-07,True
US,VTI,1255,723,2021-08-09,2026-08-07,2023-09-20,2026-08-07,True
US,XLK,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLC,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLY,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLP,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLF,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLI,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLB,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLE,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLV,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLU,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XLRE,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,SOXX,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,SMH,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,IHI,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,XBI,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
US,KRE,1255,730,2021-08-09,2026-08-07,2023-09-11,2026-08-07,True
